time,x,y,p_value
31.566666666666666,403,259,1.681862045188609e-07
31.566666666666666,405,262,0.07633674889802933
31.6,401,258,3.668224337616266e-07
31.6,402,258,1.1983306649199221e-05
31.6,404,258,0.014599687419831753
31.6,401,259,3.155483443693917e-33
31.6,402,259,3.80259649546133e-07
31.6,404,259,0.0001627808960620314
31.6,406,262,0.11267232149839401
31.6,407,262,3.283417635002728e-11
31.6,407,263,9.218508817792576e-32
31.633333333333333,405,258,4.586984232446412e-06
31.633333333333333,406,258,1.0138333422817504e-34
31.633333333333333,405,259,9.406464052119645e-09
31.633333333333333,406,259,3.777898566897919e-12
31.633333333333333,406,260,5.793154400635103e-07
31.666666666666668,408,258,8.72830963061233e-09
31.666666666666668,408,259,8.115284444443205e-09
31.666666666666668,409,259,2.1040454711851453e-08
31.733333333333334,412,258,1.5451278147543866e-33
31.733333333333334,412,259,3.348140931169752e-10
31.733333333333334,414,263,0.00034731393679976463
31.766666666666666,412,257,0.0011600982397794724
31.766666666666666,413,257,0.01968488097190857
31.766666666666666,412,258,9.672790568515666e-09
31.766666666666666,413,258,1.1473247092068409e-36
31.766666666666666,414,258,0.0
31.766666666666666,411,259,0.10425911843776703
31.766666666666666,412,259,2.7426402767935294e-33
31.766666666666666,413,259,0.0001572274195495993
31.766666666666666,414,259,4.2351221054559574e-05
31.766666666666666,417,262,0.0005785941029898822
31.8,416,258,4.616461865225574e-06
31.833333333333332,418,258,7.505697396936739e-09
31.833333333333332,418,259,1.4784022554624018e-35
31.866666666666667,420,257,0.0003273999027442187
31.866666666666667,420,258,0.005153145641088486
31.866666666666667,421,258,1.7257588691421688e-09
31.866666666666667,422,259,1.4902661860105582e-05
31.9,422,257,1.0386811482021585e-05
31.9,420,258,0.0020144868176430464
31.9,421,258,3.046148186122699e-12
31.9,422,258,5.285586471243415e-34
31.9,422,259,0.03797077015042305
31.933333333333334,426,260,0.0044119288213551044
31.933333333333334,476,553,6.050919321154424e-09
31.933333333333334,476,554,0.1589689403772354
31.966666666666665,424,258,0.00013832740660291165
32.0,428,257,1.4851663081572042e-06
32.03333333333333,430,258,2.600386608264671e-07
32.03333333333333,428,259,0.006108645815402269
32.03333333333333,429,259,0.0032549926545470953
32.03333333333333,430,259,3.8296129694189387e-34
32.03333333333333,428,260,3.2771346525350964e-08
32.06666666666667,429,259,9.677811613073573e-05
32.06666666666667,430,259,1.079950240345795e-09
32.06666666666667,431,259,2.1837111034983536e-06
32.06666666666667,430,260,0.00031805215985514224
32.13333333333333,438,259,0.0005206058849580586
32.166666666666664,438,257,0.2714570164680481
32.166666666666664,437,258,0.006888716481626034
32.166666666666664,438,258,1.8555542169451655e-07
32.166666666666664,436,259,0.0001144384077633731
32.166666666666664,437,259,3.1034110747896193e-07
32.166666666666664,438,259,7.529902177338954e-07
32.166666666666664,436,260,6.368205504259095e-05
32.166666666666664,438,260,0.0004024962254334241
32.2,440,258,0.0002192076062783599
32.233333333333334,440,258,1.0040281267720275e-05
32.233333333333334,441,258,3.619812782851284e-12
32.266666666666666,444,259,2.0006453382848122e-08
32.266666666666666,444,260,3.101765719271121e-11
32.3,445,259,0.00011396703484933823
32.3,445,260,1.1009711670340039e-05
32.3,448,263,0.0030512893572449684
32.333333333333336,446,258,0.0003504902415443212
32.333333333333336,447,258,0.04949113726615906
32.333333333333336,445,259,0.0
32.333333333333336,446,259,8.379026361637898e-09
32.333333333333336,447,259,1.104702277017327e-36
32.333333333333336,448,259,1.360286283613732e-08
32.333333333333336,445,260,1.9066621916863369e-06
32.333333333333336,446,260,1.1770069769529256e-31
32.333333333333336,447,260,0.0022480126935988665
32.36666666666667,448,258,0.0007237853715196252
32.36666666666667,449,258,0.0007335357367992401
32.36666666666667,447,259,1.2605303174573823e-31
32.36666666666667,448,259,3.9403888485445293e-10
32.36666666666667,449,259,3.228271205912847e-09
32.36666666666667,447,260,8.066604434539384e-33
32.4,449,258,5.305186443643835e-32
32.4,450,258,0.03237064182758331
32.4,451,258,1.010107796017845e-12
32.4,448,259,0.002040382008999586
32.4,449,259,1.359987233939819e-09
32.4,450,259,2.015864595250605e-07
32.4,451,259,3.399320670733957e-15
32.4,452,259,4.7834317228989676e-05
32.4,449,260,0.001721290871500969
32.4,450,260,2.0889664190714792e-34
32.4,451,260,0.0006140908808447421
32.4,453,260,9.656574206928781e-08
32.4,453,261,0.06866840273141861
32.4,454,261,6.042444766762856e-08
32.43333333333333,451,259,1.7986106115586153e-07
32.43333333333333,452,259,0.00046640002983622253
32.43333333333333,453,260,6.696923571247737e-10
32.43333333333333,454,260,3.4108122690668097e-06
32.43333333333333,453,261,0.26690784096717834
32.46666666666667,452,258,0.010659094899892807
32.46666666666667,453,258,7.126809009605495e-07
32.46666666666667,454,258,0.1558978259563446
32.46666666666667,455,258,1.7242604144485085e-07
32.46666666666667,452,259,1.2294046339674092e-33
32.46666666666667,453,259,2.532534381316509e-05
32.46666666666667,454,259,8.488147614116315e-06
32.46666666666667,455,259,2.91748569747341e-12
32.46666666666667,456,259,9.258987354598958e-09
32.6,465,264,0.0005811532028019428
32.666666666666664,465,258,0.00026618133415468037
32.666666666666664,465,259,2.203339022344153e-08
32.666666666666664,465,260,0.0021425457671284676
32.7,468,258,4.2560546717140824e-05
32.7,469,258,0.0007096165791153908
32.7,468,259,1.867337857675011e-07
32.7,469,259,4.208801556160324e-07
32.7,468,260,0.0001251105422852561
32.7,469,260,5.326966590723045e-32
32.733333333333334,470,259,2.0661625967477448e-05
32.733333333333334,472,259,0.00015899506979621947
32.733333333333334,470,260,0.1588626503944397
32.733333333333334,472,260,0.0020694828126579523
32.733333333333334,473,264,0.03144509717822075
32.766666666666666,472,259,1.835395551097463e-07
32.766666666666666,473,259,5.96093912008655e-07
32.766666666666666,474,259,1.4669834482372164e-32
32.766666666666666,472,260,6.718824465679063e-07
32.766666666666666,473,260,2.1140428430044267e-07
32.766666666666666,474,260,2.9961995107186112e-09
32.766666666666666,475,260,0.001129313139244914
32.766666666666666,473,261,0.1250639110803604
32.766666666666666,474,261,0.0057296366430819035
32.8,472,258,0.014787176623940468
32.8,473,258,1.18382024183461e-08
32.8,474,258,0.00012776575749740005
32.8,472,259,9.720678255387138e-12
32.8,473,259,0.028784677386283875
32.8,412,568,0.12145527452230453
32.833333333333336,476,260,2.4213988581323065e-05
32.833333333333336,477,260,2.1598483726847917e-05
32.833333333333336,478,260,1.1366326901907087e-07
32.833333333333336,479,260,2.800076572384569e-06
32.833333333333336,477,261,9.917532679537544e-07
32.833333333333336,478,261,0.0034853583201766014
32.833333333333336,479,261,0.011876392178237438
32.833333333333336,477,262,6.837757027255975e-09
32.86666666666667,478,258,0.011703142896294594
32.86666666666667,478,259,2.4336961335080787e-09
32.86666666666667,479,259,1.943443708188534e-33
32.86666666666667,478,260,0.0002090377383865416
32.86666666666667,479,260,3.1728608629322252e-09
32.9,752,123,0.14752639830112457
32.9,480,258,2.4322773128915287e-08
32.9,481,258,5.306627372192452e-06
32.9,479,259,3.1234866784823665e-31
32.9,480,259,6.735768693033606e-05
32.9,481,259,4.1528700617243786e-11
32.9,480,260,4.49554281658493e-05
32.93333333333333,481,257,0.008798237890005112
32.93333333333333,480,258,0.0004589846357703209
32.93333333333333,481,258,7.184037253971098e-10
32.93333333333333,480,259,7.783899604874023e-07
32.93333333333333,481,259,7.316203891605255e-07
32.96666666666667,485,258,1.583061201126414e-33
32.96666666666667,483,259,0.02950090914964676
32.96666666666667,485,259,1.939102185133379e-05
32.96666666666667,483,260,2.252115755907081e-31
32.96666666666667,484,260,4.148937932768604e-06
32.96666666666667,485,260,4.5841696305615187e-07
33.0,487,258,7.793055374349933e-06
33.0,486,259,1.3886025953979697e-05
33.0,487,259,4.140606968405791e-09
33.0,488,259,4.95932690682821e-05
33.0,487,260,0.0
33.0,488,260,1.4776079932150053e-34
33.03333333333333,488,258,7.466190436389297e-05
33.03333333333333,489,258,2.772209763720067e-32
33.03333333333333,487,259,0.054555270820856094
33.03333333333333,488,259,7.943754098960198e-07
33.03333333333333,489,259,8.273414175974381e-10
33.03333333333333,490,259,4.921347651074517e-37
33.03333333333333,487,260,5.217126997081323e-08
33.03333333333333,488,260,2.1028330593253486e-05
33.03333333333333,489,260,7.71574650570983e-06
33.03333333333333,490,260,9.600740304449573e-05
33.06666666666667,490,259,0.0004901743377558887
33.06666666666667,491,259,0.0002376788470428437
33.06666666666667,489,260,7.770347385100726e-32
33.06666666666667,490,260,5.058635288435198e-09
33.06666666666667,491,260,6.649324495811015e-05
33.1,491,259,0.0034425717312842607
33.1,491,260,1.679755951045081e-05
33.1,493,260,4.745968618102836e-10
33.13333333333333,493,259,1.4748465218872298e-05
33.13333333333333,494,259,7.720360883922694e-08
33.13333333333333,495,259,7.709171720348057e-32
33.13333333333333,492,260,2.222890094216723e-09
33.13333333333333,493,260,5.776553848590993e-07
33.13333333333333,495,260,4.3367666080484923e-07
33.13333333333333,492,261,0.0004778833535965532
33.13333333333333,493,261,8.069286765711167e-32
33.13333333333333,495,261,0.005660845898091793
33.2,499,259,5.769843119196594e-05
33.2,498,260,2.7030933047456074e-10
33.2,499,260,4.752719958747546e-35
33.2,498,261,3.8982872485604503e-10
33.2,499,261,8.280450630726577e-11
33.2,498,262,7.129303867259296e-07
33.2,499,262,0.02750009298324585
33.2,500,262,0.047812920063734055
33.233333333333334,499,259,0.048155877739191055
33.233333333333334,500,259,3.8636333243857734e-08
33.233333333333334,498,260,0.02529161609709263
33.233333333333334,499,260,2.2019871785825143e-37
33.233333333333334,500,260,9.094562301470432e-06
33.233333333333334,501,260,3.8712607687068834e-38
33.233333333333334,498,261,2.7484124683348453e-32
33.233333333333334,499,261,2.8715579901472665e-05
33.233333333333334,500,261,3.214854302768799e-07
33.233333333333334,501,261,2.4829807543369498e-08
33.233333333333334,502,261,0.005721972789615393
33.233333333333334,498,262,0.02347651496529579
33.233333333333334,499,262,8.620459368557931e-08
33.233333333333334,500,262,0.0028842489700764418
33.266666666666666,502,259,8.40348590713802e-08
33.266666666666666,502,260,1.4238578094349919e-09
33.3,503,259,0.24641099572181702
33.3,504,259,0.008488277904689312
33.3,503,260,8.417144758965378e-10
33.3,504,260,1.528505173451454e-14
33.3,504,261,9.870718927908463e-32
33.3,505,261,2.069063157250639e-05
33.3,506,261,0.07772983610630035
33.3,506,262,5.91668310789828e-07
33.333333333333336,505,258,0.045142002403736115
33.333333333333336,503,259,0.047880612313747406
33.333333333333336,504,259,3.765034950475865e-09
33.333333333333336,505,259,1.4138448932499159e-05
33.333333333333336,506,259,4.8768207085369455e-34
33.333333333333336,503,260,6.814237849539495e-07
33.333333333333336,504,260,2.1826158445037436e-06
33.333333333333336,505,260,4.1419380636398273e-07
33.333333333333336,506,260,0.00026803911896422505
33.333333333333336,508,261,0.0022053669672459364
33.36666666666667,507,258,0.005174634512513876
33.36666666666667,506,259,0.00011327561514917761
33.36666666666667,507,259,7.613563752784103e-07
33.36666666666667,508,259,2.7972936322839814e-07
33.36666666666667,505,260,2.3651546499081633e-08
33.36666666666667,506,260,6.0611659137066454e-05
33.36666666666667,507,260,1.2941131721788679e-08
33.36666666666667,508,260,6.161582745758953e-13
33.36666666666667,508,261,6.927743378959406e-10
33.36666666666667,395,647,0.005460131447762251
33.4,509,260,0.08355528116226196
33.4,509,261,0.0004572824400383979
